objectid,SHAPE__Area,SHAPE__Length,fldn_area,fldn_bgng_tm,fldn_bgng_ymd,fldn_cs_dtl_nm,fldn_dowa,fldn_dst_nm,fldn_end_tm,fldn_end_ymd,fldn_grade,fldn_yr,sn,stdg_ctpv_cd,stdg_sgg_cd
8717,4295.907026855,315.63167508148615,615127,0800,20120917,저지대로인한 강물 역류,0.646,제16호태풍(산바),0500,20120918,2,2012,848,47,47130
8718,38212.47268018,1055.3669568688233,252894,0800,20120917,형산강물 역류로인한 침수,0.626,제16호태풍(산바),0500,20120918,2,2012,856,47,47130
8719,35763.371062165,788.1903560231597,147445,0800,20120917,저지대로 인한 침수,1.586,제16호태풍(산바),0500,20120918,4,2012,865,47,47130
8720,100639.184923845,1561.3258861352454,143142,1400,20120917,제방붕괴로인한침수,2.238,16호태풍 산바로 인한침수,1500,20120918,5,2012,970,47,47150
8721,898556.08241828,5648.804268103861,470808,1300,20120917,집중호우,1.241,제16호태풍 산바,1000,20120918,3,2012,682,47,47111
8722,43993.712663845,981.7252057021841,470808,1300,20120917,집중호우,1.634,제16호태풍 산바,1000,20120918,4,2012,678,47,47111
8723,150775.2353715,2759.798380803564,470808,1300,20120917,집중호우,0.71,제16호태풍 산바,1000,20120918,2,2012,677,47,47111
8724,19882.767535135,608.8249418111749,470808,1300,20120917,집중호우,0.74,제16호태풍 산바,1000,20120918,2,2012,680,47,47111
8725,3984.885711125,301.16407576014234,470808,1300,20120917,집중호우,0.214,제16호태풍 산바,1000,20120918,1,2012,681,47,47111
8726,48827.31760341,1297.4955167011717,470808,1300,20120917,집중호우,0.738,제16호태풍 산바,1000,20120918,2,2012,679,47,47111
8727,8405.163752415,451.95588239946727,69708,0500,20120917,제방유실로인한 침수,1.054,제16호태풍(산바),0800,20120918,3,2012,765,47,47130
8728,15474.007247475,522.2171396963209,53654,0500,20120917,배수불량으로인한 침수,0.49,제16호태풍(산바),0800,20120918,1,2012,789,47,47130
8729,23396.126869615,878.9670803993862,147259,0800,20120917,저지대로인한 침수,2.004,제16호태풍(산바),0500,20120918,5,2012,776,47,47130
8730,7877.751449125,387.7397314675528,147259,0800,20120917,저지대로인한 침수,1.608,제16호태풍(산바),0500,20120918,4,2012,782,47,47130
8731,177930.96524565,2154.6804469126428,147259,0800,20120917,저지대로인한 침수,1.416,제16호태풍(산바),0500,20120918,3,2012,785,47,47130
8732,127141.49438196,1605.6128720787142,120323,0800,20120917,하천 역류로인한 침수,0.839,제16호태풍(산바),0500,20120918,2,2012,775,47,47130
8733,5561.25902514,389.26978049745185,147259,0800,20120917,저지대로인한 침수,1.661,제16호태풍(산바),0500,20120918,4,2012,779,47,47130
8734,21376.471948625,647.7960067438552,53654,0500,20120917,배수불량으로인한 침수,0.577,제16호태풍(산바),0800,20120918,2,2012,786,47,47130
8735,13555.67695963,499.40163340906685,147259,0800,20120917,저지대로인한 침수,1.019,제16호태풍(산바),0500,20120918,3,2012,774,47,47130
8736,19442.32376955,783.1853693616573,53654,0500,20120917,배수불량으로인한 침수,1.428,제16호태풍(산바),0800,20120918,3,2012,788,47,47130
8737,14465.14342012,481.2947169253089,147259,0800,20120917,저지대로인한 침수,0.62,제16호태풍(산바),0500,20120918,2,2012,787,47,47130
8738,8108.651714955,400.87096365530635,147259,0800,20120917,저지대로인한 침수,0.854,제16호태풍(산바),0500,20120918,2,2012,772,47,47130
8739,65437.8336606,1136.4917548837566,615127,0800,20120917,저지대로인한 강물 역류,1.322,제16호태풍(산바),0500,20120918,3,2012,831,47,47130
8740,11706.53940996,579.019236655901,204555,0500,20120917,역류로인한 침수,0.738,제16호태풍(산바),0800,20120918,2,2012,928,47,47130
